"ID","Area","Feature","UserStory","ExpectedBehavior","KeyFiles","E2ESpec","CodeStatus","QAStatus","QANotes","Notes","Persona","Permissions","VideoPath","VideoTimestamp","VideoStatus"
"AS-01","Auth & Session","Sign-up with username, email, password","As a new user, I want to create an account with a username, email, and password, so that I can access the app.","User can access sign-up form via 'Create an account' link in AccountSwitcher dialog. Form accepts username (3-50 chars), email, and password (≥8 chars). Form displays password requirements: min 8 chars and does not contain email. Password strength indicator shows weak/medium/strong based on length + digits + symbols. Submit button disabled until all fields valid and user online. On success, user signs in and dialog closes.","src/components/git-import/FrontierSignupForm.tsx:1-180; src/lib/frontier/auth.ts:56-75; src/hooks/useFrontierSession.ts:32-39","e2e/specs/orgs/account-signup-form.smoke.spec.ts, e2e/specs/orgs/account-signup-password-checklist.smoke.spec.ts","Implemented","Untested","","Accessed via AccountSwitcher dialog, not standalone page. Requires online connection (disabled when offline). Email requirement not enforced for server conflict; server returns 409 if user exists.","Project lead / owner","Manage members/invites: project_lead(500); role changes: maintainer/owner(≥600); link role capped at contributor(400)","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:06","recorded"
"AS-02","Auth & Session","Login with username or email + password","As an existing user, I want to sign in with my username or email and password, so that I can access my projects.","User navigates to /login or clicks 'Add another account' in AccountSwitcher. Login form accepts username/email and password. Show/hide password toggle (eye icon) reveals plaintext. Submit button disabled until both fields filled. On invalid credentials, shows 401 error 'Invalid username or password'. On success, user authenticated and redirected to ?next parameter or /. Offline state detected and submit disabled with message.","src/pages/Login.tsx:1-137; src/components/git-import/FrontierLoginForm.tsx:1-104; src/lib/frontier/auth.ts:40-54; src/hooks/useFrontierSession.ts:24-30","e2e/specs/orgs/login-form-show-hide-password.smoke.spec.ts","Implemented","Untested","","Two entry points: /login page (public route) and AccountSwitcher dialog. FrontierLoginForm supports optional onForgotPassword and returnTo props. Session persisted to IndexedDB and aq_hint=1 cookie set.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:06","recorded"
"AS-03","Auth & Session","Show/hide password toggle on login","As a user logging in, I want to verify my password by toggling visibility, so that I can confirm I typed it correctly.","Login form password input type='password' by default. Eye icon button toggles to show password as plaintext (type='text'). Button aria-label changes from 'Show password' to 'Hide password'. Icon switches from Eye to EyeOff. Toggle can be clicked repeatedly.","src/pages/Login.tsx:89-108; src/components/git-import/FrontierLoginForm.tsx:79-96","e2e/specs/orgs/login-form-show-hide-password.smoke.spec.ts","Implemented","Untested","","Also present in signup and password reset forms for UX consistency.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:00","recorded"
"AS-04","Auth & Session","Forgot password flow","As a user who forgot my password, I want to request a reset link, so that I can set a new password.","From login form, user clicks 'Forgot password?' link. Dialog switches to FrontierForgotPasswordForm with title 'Reset your password'. Form has email input (must match /.+@.+\.+/ pattern). 'Send reset link' button disabled until valid email. On submit, calls POST /api/v2/auth/password-reset/request { email }. Shows success message with email display and 'Back to login' button. Users can click 'Back to login' to return to login form without submitting.","src/components/git-import/FrontierForgotPasswordForm.tsx:1-73; src/lib/frontier/auth.ts:99-115; src/components/AccountSwitcher.tsx:72-76","e2e/specs/orgs/account-add-forgot-password.smoke.spec.ts, e2e/specs/orgs/account-reset-password-form.smoke.spec.ts","Implemented","Untested","","Uses dummy-safe UX: success message shows 'If an account exists' to prevent email enumeration. Accessible from both /login page and AccountSwitcher 'Add account' dialog.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:00","recorded"
"AS-05","Auth & Session","Password reset token verification","As a user with a reset link, I want to verify the link is valid before entering a new password, so that I know my reset request was legitimate.","User navigates to /reset-password?token=<token>&username=<username>. Page calls POST /api/v2/auth/password-reset/verify { token, username }. While verifying, shows 'Verifying link…' loading state. On 401/invalid: shows TokenExpiredView with form to request new link. On 200/valid: shows new password form. Form displays password checklist (8+ chars, not contain email). Submit button disabled until password valid.","src/pages/ResetPassword.tsx:1-282; src/lib/frontier/auth.ts:125-141","none","Implemented","Untested","","Token expiry is handled server-side; client shows recovery UI (request new link) on error. Email optional in query string but shown if present.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:00","recorded"
"AS-06","Auth & Session","Password reset execution","As a user resetting my password, I want to set a new password and be automatically signed in, so that I can continue without clicking login again.","On /reset-password with valid token, user enters new password (≥8 chars). Form validates and shows checklist. On submit, calls POST /api/v2/auth/password-reset/reset { token, username, new_password }. On success, automatically calls login(username, new_password) to sign user in, then redirects to /. On 400/500 error, shows message and keeps user on form.","src/pages/ResetPassword.tsx:207-223; src/lib/frontier/auth.ts:150-170","none","Implemented","Untested","","Automatic login after reset (line 215: await login) avoids friction of sign-in page.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:00","recorded"
"AS-07","Auth & Session","Password strength indicator","As a user creating or resetting a password, I want to see password strength feedback, so that I can create a secure password.","Signup and reset forms display PasswordChecklist when user types. Shows green Check for 'At least 8 characters' when met. Shows Check for 'Does not contain your email' when met. Displays colored progress bar (red=weak 1/3, yellow=medium 2/3, green=strong full). Text label 'Strength: weak|medium|strong'. Strength calculated as: ≥8 chars (+1), ≥12 chars (+1), digits (+1), symbols (+1). Score ≤1=weak, 2=medium, ≥3=strong.","src/components/git-import/FrontierSignupForm.tsx:10-77; src/pages/ResetPassword.tsx:40-79","e2e/specs/orgs/account-signup-password-checklist.smoke.spec.ts","Implemented","Untested","","Checklist hidden if password field empty. Strength bar only shown when user has typed something.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:00","recorded"
"AS-08","Auth & Session","Session persistence to IndexedDB","As a user, I want my session to persist across page reloads, so that I don't need to log in repeatedly.","On successful login/register, FrontierSession (jwt, username, createdAt, email) saved to IndexedDB 'frontier' store with key 'envelope'. Session stored in envelope.sessions[username] and envelope.active set to username. On cold boot, loadActiveSession() retrieves session from IndexedDB. If session exists, user is logged in without re-authenticating. Session cleared only on logout.","src/lib/frontier/session-store.ts:1-156; src/lib/frontier/auth.ts:194-209; src/hooks/useAccounts.ts:17-22","none","Implemented","Untested","","Multi-account support: envelope tracks multiple sessions, only one active at a time. Legacy migration: reads old 'current' key format and upgrades to envelope model.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:00","recorded"
"AS-09","Auth & Session","Auth hint cookie for edge routing","As a returning user, I want the Worker/edge to know I'm logged in without waiting for IndexedDB, so that the SPA loads quickly.","On successful login, IndexedDB write also sets aq_hint=1 cookie (Max-Age=31536000, Path=/, SameSite=Lax, no Domain). On logout, cookie deleted. On app boot, hasAuthHintCookie() checks if aq_hint=1 present. If no hint and not onboarded, RootRedirect sends hard window.location.replace('/homepage'). Hint scoped to host only (dev.aquilla.app vs aquilla.app vs localhost isolated).","src/lib/frontier/session-store.ts:50-68; src/App.tsx:93-106","none","Implemented","Untested","","Hint prevents flashing empty app shell at /homepage redirect. Non-credential cookie lets Worker decide routing without waiting for IDB.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:00","recorded"
"AS-10","Auth & Session","Account switcher dropdown","As a user with multiple accounts, I want to see all my signed-in accounts in one place, so that I can switch between them or manage them.","AccountSwitcher button shows active user's avatar + username. Click opens dropdown showing 'Signed in' header, active account entry (with checkmark), list of other accounts (clickable to switch), 'Preferences' link, 'Add another account…' button, 'Log out' button. If >1 account, adds 'Sign out of all accounts' (destructive color). Clicking other account calls activateSession(), clears React Query cache and local project data. Clicking remove button (hover icon) on non-active account removes it.","src/components/AccountSwitcher.tsx:1-343; src/hooks/useAccounts.ts:35-45","e2e/specs/orgs/account-switcher.smoke.spec.ts","Implemented","Untested","","Renders in header or sidebar variant. Dropdown closes on outside click or Escape. Switch clears query cache to prevent stale data from prior account.","Any user (unauthenticated → authenticated)","No role required — public auth endpoints; account owner only for own session","https://docs.aquilla.app/media/onboarding-first-run/onboarding-first-run.mp4","00:00","recorded"
