id,source,target
row-8008-0,Storage temperature: −20 °C to +60 °C (−4 °F to +140 °F).,
row-8008-1,"製品の仕様は予告なく変更されることがあります。, with ""quoted"" clause",
row-8008-2,"Backup completed successfully at 02:00 UTC; 1,284 files archived.","Don't share your password with anyone, including support staff."
row-8008-3,"製品の仕様は予告なく変更されることがあります。, with ""quoted"" clause",Der Vertrag tritt am ersten Tag des Folgemonats in Kraft.
row-8008-4,"Backup completed successfully at 02:00 UTC; 1,284 files archived., with ""quoted"" clause",
row-8008-5,All prices include VAT at the applicable rate of 21%.,Error 404: the requested resource could not be found on this server.
row-8008-6,Session expired — please sign in again to continue where you left off.,"By signing below, the lessee acknowledges receipt of the premises."
row-8008-7,A load-bearing wall shall not be modified without engineering approval.,Our team delivers world-class localization at scale — 24/7 support included.
row-8008-8,This warranty does not cover damage caused by misuse or unauthorized repair.,
row-8008-9,Ensure the device is powered off before removing the battery cover.,Session expired — please sign in again to continue where you left off.
row-8008-10,"請在使用前仔細閱讀本說明書。
second line",
