date	story	run	result	seconds	note
2026-09-09T01:42:32Z	projects-create	1	PASS	10	PASS: row 'Journey create 184222' in Projects table; overview url http://127.0.0.1:5173/projects/3d0e03b4-e8b9-4fd7-90b5-e99f396a1011
2026-09-09T01:42:43Z	projects-create	2	PASS	11	PASS: row 'Journey create 184232' in Projects table; overview url http://127.0.0.1:5173/projects/4b31aff4-10fc-41c9-a9b7-7458591c7fc7
2026-09-09T01:42:53Z	projects-create	3	PASS	10	PASS: row 'Journey create 184243' in Projects table; overview url http://127.0.0.1:5173/projects/a59b6075-46aa-48d6-b13a-22273703c261
2026-09-09T01:43:04Z	projects-create	4	PASS	11	PASS: row 'Journey create 184253' in Projects table; overview url http://127.0.0.1:5173/projects/01b24cfd-3349-4e72-a036-a809a9a2bec6
2026-09-09T01:43:14Z	projects-create	5	PASS	10	PASS: row 'Journey create 184304' in Projects table; overview url http://127.0.0.1:5173/projects/6ebbcf1d-3582-4221-9e35-f30ee21fa447
2026-09-09T01:45:06Z	projects-archive	1	FAIL	10	FAIL: confirm Archive button
2026-09-09T01:45:17Z	orgs-preferences-persist	1	PASS	11	PASS: switch checked=true -> checked=false, survived reload, restored to checked=true
2026-09-09T01:45:27Z	orgs-preferences-persist	2	PASS	10	PASS: switch checked=true -> checked=false, survived reload, restored to checked=true
2026-09-09T01:45:38Z	orgs-preferences-persist	3	PASS	11	PASS: switch checked=true -> checked=false, survived reload, restored to checked=true
2026-09-09T01:45:49Z	orgs-preferences-persist	4	PASS	11	PASS: switch checked=true -> checked=false, survived reload, restored to checked=true
2026-09-09T01:46:00Z	orgs-preferences-persist	5	PASS	11	PASS: switch checked=true -> checked=false, survived reload, restored to checked=true
2026-09-09T01:46:54Z	projects-archive	1	FAIL	40	FAIL: did not land on Projects list
2026-09-09T01:47:37Z	projects-route-health	1	PASS	49	PASS: 20 routes clean, no crash boundary or vite-error-overlay
2026-09-09T01:47:43Z	projects-archive	1	PASS	14	PASS: 'Journey archive 184729' left the active table and is listed under Archived (overview was http://127.0.0.1:5173/projects/8ff87805-53a0-4746-ae42-24d1ea666
2026-09-09T01:47:57Z	projects-archive	2	PASS	14	PASS: 'Journey archive 184743' left the active table and is listed under Archived (overview was http://127.0.0.1:5173/projects/57b93039-2bd4-4d59-9a09-1fd20cf3e
2026-09-09T01:48:11Z	projects-archive	3	PASS	14	PASS: 'Journey archive 184757' left the active table and is listed under Archived (overview was http://127.0.0.1:5173/projects/669a2659-0562-4408-b7da-5a9b17601
2026-09-09T01:48:26Z	projects-archive	4	PASS	15	PASS: 'Journey archive 184811' left the active table and is listed under Archived (overview was http://127.0.0.1:5173/projects/86c3a225-f1c7-4b35-91ee-2e20b2bb0
2026-09-09T01:48:33Z	projects-route-health	2	PASS	56	PASS: 20 routes clean, no crash boundary or vite-error-overlay
2026-09-09T01:48:44Z	projects-archive	5	PASS	18	PASS: 'Journey archive 184826' left the active table and is listed under Archived (overview was http://127.0.0.1:5173/projects/19e34a38-0a2a-447a-a85b-a0263af59
2026-09-09T01:49:32Z	projects-route-health	3	PASS	59	PASS: 20 routes clean, no crash boundary or vite-error-overlay
2026-09-09T01:49:34Z	projects-route-health	4	FAIL	2	FAIL: login
